Model,DT
CTG-0009,31.2131494351528
CTG-0011,10.8773096516442
CTG-0012,9.83427995902075
CTG-0017,13.5453290001607
CTG-0018,15.9533874890781
CTG-0019,18.4077547950901
CTG-0033,19.9417343613476
CTG-0052,13.5453290001607
CTG-0058,21.7546193032883
CTG-0059,16.3159644774662
CTG-0064,6.58626088998637
CTG-0065,14.3580487401703
CTG-0066,10.1113019296974
CTG-0067,10.4043831450509
CTG-0068,14.3580487401703
CTG-0069,8.25175214952316
CTG-0075,11.5790715646535
CTG-0079,9.70138428389885
CTG-0080,22.4344511565161
CTG-0081,8.0663195169496
CTG-0082,22.4344511565161
CTG-0083,5.93307799180591
CTG-0084,11.217225578258
CTG-0087,9.70138428389885
CTG-0088,13.2944895742318
CTG-0089,15.2745199363514
CTG-0090,16.3159644774662
CTG-0092,13.8058160963176
CTG-0093,6.70936857017304
CTG-0101,10.557388779537
CTG-0102,9.83427995902075
CTG-0103,19.4027685677977
CTG-0104,8.86299304948783
CTG-0107,7.97669374453905
CTG-0116,23.9300812336172
CTG-0117,13.5453290001607
CTG-0121,8.64942695190982
CTG-0125,20.5114982002433
CTG-0129,10.8773096516442
CTG-0134,18.4077547950901
CTG-0136,7.88903776932434
CTG-0137,6.64724478711588
CTG-0138,13.5453290001607
CTG-0140,17.509815536793
CTG-0142,6.83716606674776
CTG-0143,7.97669374453905
CTG-0146,14.3580487401703
CTG-0147,8.97378046260644
CTG-0148,10.2557491001216
CTG-0149,10.4043831450509
CTG-0152,10.557388779537
CTG-0158,7.55686775798437
CTG-0159,7.17902437008515
CTG-0160,9.32340827283785
CTG-0162,15.2745199363514
CTG-0163,18.8921693949609
CTG-0165,8.25175214952316
CTG-0166,11.0446528770541
CTG-0178,11.9650406168086
CTG-0184,10.8773096516442
CTG-0192,17.9475609252129
CTG-0198,9.83427995902075
CTG-0199,5.24016377378478
CTG-0201,5.3177958296927
CTG-0202,8.34770275591296
CTG-0204,8.15798223873312
CTG-0210,12.1678379153986
CTG-0211,31.2131494351528
CTG-0213,29.9126015420215
CTG-0215,14.9563007710107
CTG-0219,14.6510701430309
CTG-0231,7.47815038550536
CTG-0232,4.72304234874023
CTG-0234,18.8921693949609
CTG-0241,9.57203249344686
CTG-0242,15.6065747175764
CTG-0252,4.24794341425157
CTG-0253,4.54368631018047
CTG-0257,4.54368631018047
CTG-0258,6.5263857909865
CTG-0259,9.57203249344687
CTG-0282,7.8032873587882
CTG-0283,5.12787455006082
CTG-0284,8.25175214952316
CTG-0285,10.4043831450509
CTG-0286,10.557388779537
CTG-0287,10.557388779537
CTG-0288,7.63725996817569
CTG-0289,8.34770275591296
CTG-0290,11.9650406168086
CTG-0291,11.7688924099757
CTG-0292,12.5947795966406
CTG-0293,10.4043831450509
CTG-0294,10.8773096516442
CTG-0295,9.57203249344687
CTG-0296,12.1678379153986
CTG-0298,12.1678379153986
CTG-0299,14.6510701430309
CTG-0300,10.1113019296974
CTG-0464,15.6065747175764
CTG-0502,6.03279358830685
CTG-0743,12.3776282242847
CTG-0765,10.1113019296974
CTG-0808,8.25175214952316
CTG-0828,17.0929151668694
CTG-0838,8.15798223873312
CTG-0848,19.4027685677977
CTG-0852,18.8921693949609
CTG-0860,7.10794492087638
CTG-0924,21.7546193032883
CTG-1012,7.63725996817569
CTG-1014,20.5114982002433
CTG-1194,7.03825918635799
CTG-1212,13.2944895742318
CTG-1217,14.9563007710107
CTG-1253,13.5453290001607
CTG-1269,17.509815536793
CTG-1275,14.3580487401703
CTG-1309,12.5947795966406
CTG-1316,13.052771581973
CTG-1329,17.0929151668694
CTG-1342,12.1678379153986
CTG-1351,11.0446528770541
CTG-1352,13.2944895742318
CTG-1353,11.5790715646535
CTG-1354,27.6116321926352
CTG-1355,12.5947795966406
CTG-1356,24.7552564485695
CTG-1357,11.5790715646535
CTG-1358,11.9650406168086
CTG-1360,22.4344511565161
CTG-1361,23.9300812336172
CTG-1363,11.3952767779129
CTG-1372,13.2944895742318
CTG-1441,12.5947795966406
CTG-1444,6.5263857909865
CTG-1502,7.03825918635799
CTG-1535,12.5947795966406
CTG-1612,23.1581431293069
CTG-1680,16.6954055118259
CTG-1726,11.217225578258
CTG-1762,4.98543359033691
CTG-1814,7.03825918635799
CTG-1878,11.9650406168086
CTG-1879,27.6116321926352
CTG-1885,6.70936857017304
CTG-1903,15.2745199363514
CTG-1918,5.39776268427455
CTG-1927,16.3159644774662
CTG-1928,17.0929151668694
CTG-1932,6.64724478711588
CTG-1955,9.32340827283785
CTG-1992,5.3177958296927
CTG-2011,8.75490776839652
CTG-2026,6.58626088998637
CTG-2082,10.8773096516442
CTG-2123,13.5453290001607
CTG-2143,23.1581431293069
CTG-2180,35.8951218504258
CTG-2210,19.4027685677977
CTG-2261,29.9126015420214
CTG-2271,15.2745199363514
CTG-2311,6.5263857909865
CTG-2330,14.9563007710107
CTG-2367,21.7546193032883
CTG-2393,19.9417343613476
CTG-2405,29.9126015420214
CTG-2417,28.7160974803406
CTG-2466,11.217225578258
CTG-2485,17.9475609252129
CTG-2487,19.9417343613476
CTG-2529,6.9699265728982
CTG-2530,20.5114982002433
CTG-2531,12.5947795966406
CTG-2532,8.0663195169496
CTG-2533,6.5263857909865
CTG-2534,15.9533874890781
CTG-2535,15.2745199363514
CTG-2536,9.97086718067382
CTG-2537,17.9475609252129
CTG-2538,22.4344511565161
CTG-2539,8.5464575834347
CTG-2540,6.46758952259923
CTG-2542,11.9650406168086
CTG-2543,27.6116321926352
CTG-2544,10.8773096516442
CTG-2548,14.6510701430309
CTG-2552,8.64942695190982
CTG-2554,6.5263857909865
CTG-2555,11.0446528770541
CTG-2556,7.88903776932434
CTG-2557,14.6510701430309
CTG-2558,13.8058160963176
CTG-2569,16.6954055118259
CTG-2572,21.7546193032883
CTG-2575,10.4043831450509
CTG-2579,9.83427995902075
CTG-2610,29.9126015420215
CTG-2649,5.24016377378478
CTG-2669,7.10794492087638
CTG-2695,19.4027685677977
CTG-2751,23.9300812336172
CTG-2755,18.8921693949609
CTG-2770,19.4027685677977
CTG-2776,9.08737262036095
CTG-2784,12.3776282242847
CTG-2788,13.5453290001607
CTG-2790,15.9533874890781
CTG-2803,7.97669374453905
CTG-2823,19.9417343613476
CTG-2825,5.74321949606812
CTG-2832,12.819686375152
CTG-2839,24.7552564485695
CTG-2841,25.6393727503041
CTG-2842,8.75490776839652
CTG-2873,9.20387739754506
CTG-2896,14.3580487401703
CTG-2912,13.5453290001607
CTG-2934,25.6393727503041
CTG-2939,11.5790715646535
CTG-2946,13.8058160963176
CTG-2983,79.7669374453906
CTG-2992,11.9650406168086
CTG-3044,12.1678379153986
CTG-3115,14.3580487401703
CTG-3121,21.114777559074
CTG-3122,14.3580487401703
CTG-3160,10.1113019296974
CTG-3188,10.4043831450509
CTG-3190,4.27322879171735
CTG-3192,19.9417343613476
CTG-3196,12.819686375152
CTG-3213,11.217225578258
CTG-3236,24.7552564485695
CTG-3271,19.9417343613476
CTG-3320,6.9029080481588
CTG-3375,47.8601624672343
CTG-3377,14.3580487401703
CTG-3414,5.98252030840429
CTG-3470,14.3580487401703
CTG-3475,17.9475609252129
CTG-3477,6.24262988703056
CTG-3485,16.6954055118259
CTG-3493,15.6065747175764
CTG-3514,7.32553507151546
CTG-3538,12.819686375152
CTG-3543,12.3776282242847
CTG-3569,14.9563007710107
CTG-3574,13.052771581973
CTG-3651,17.9475609252129
CTG-3702,12.3776282242847
CTG-3703,22.4344511565161
CTG-3708,12.5947795966406
CTG-3710,7.63725996817569
CTG-3855,11.217225578258
CTG-3969,11.5790715646535
CTG-3970,21.114777559074
CTG-3982,12.3776282242847
CTG-4001,16.3159644774662
CTG-4002,23.9300812336172
CTG-0334,23.1581431293069
CTG-0358,10.1113019296974
CTG-0359,9.44608469748046
CTG-0360,13.2944895742318
CTG-0369,26.5889791484635
CTG-0373,34.1858303337388
CTG-0374,14.076518372716
CTG-0379,7.32553507151546
CTG-0382,12.5947795966406
CTG-0387,10.4043831450509
CTG-0401,11.3952767779129
CTG-0403,15.2745199363514
CTG-0406,14.3580487401703
CTG-0416,19.4027685677977
CTG-0419,21.114777559074
CTG-0420,17.0929151668694
CTG-0438,11.0446528770541
CTG-0439,6.08391895769928
CTG-0440,11.5790715646535
CTG-0454,15.9533874890781
CTG-0497,14.076518372716
CTG-0564,17.0929151668694
CTG-0652,8.64942695190982
CTG-0654,11.0446528770541
CTG-0661,8.44591102362958
CTG-0662,23.9300812336172
CTG-0679,21.114777559074
CTG-0681,13.052771581973
CTG-0689,9.32340827283785
CTG-0706,8.64942695190982
CTG-0722,14.076518372716
CTG-0759,12.5947795966406
CTG-0768,17.9475609252129
CTG-0772,6.35311891157978
CTG-0784,12.5947795966406
CTG-0796,16.6954055118259
CTG-0799,19.9417343613476
CTG-0802,8.15798223873312
CTG-0812,10.4043831450509
CTG-0826,9.97086718067382
CTG-0833,12.819686375152
CTG-0834,16.3159644774662
CTG-0835,15.9533874890781
CTG-0864,10.7149617463957
CTG-0887,9.44608469748046
CTG-0914,8.75490776839652
CTG-0923,12.5947795966406
CTG-0934,14.076518372716
CTG-0951,13.052771581973
CTG-0959,12.1678379153986
CTG-0963,23.1581431293069
CTG-0966,9.97086718067382
CTG-0978,7.10794492087638
CTG-0983,13.8058160963176
CTG-0985,12.5947795966406
CTG-0998,14.6510701430309
CTG-0999,16.6954055118259
CTG-1009,11.3952767779129
CTG-1020,13.8058160963176
CTG-1021,7.88903776932434
CTG-1033,17.509815536793
CTG-1053,11.9650406168086
CTG-1054,12.1678379153986
CTG-1060,15.2745199363514
CTG-1087,11.5790715646535
CTG-1096,9.32340827283785
CTG-1112,20.5114982002433
CTG-1129,9.08737262036095
CTG-1146,9.57203249344686
CTG-1147,17.0929151668694
CTG-1157,16.6954055118259
CTG-1170,9.97086718067382
CTG-1235,12.5947795966406
CTG-1249,15.6065747175764
CTG-1251,8.86299304948784
CTG-1303,13.5453290001607
CTG-1311,22.4344511565161
CTG-1312,15.6065747175764
CTG-1334,11.9650406168086
CTG-1338,7.25153976776278
CTG-1344,14.076518372716
CTG-1376,13.8058160963176
CTG-1407,5.98252030840429
CTG-1472,8.0663195169496
CTG-1484,11.3952767779129
CTG-1489,13.5453290001607
CTG-1493,28.7160974803406
CTG-1494,13.8058160963176
CTG-1496,12.3776282242847
CTG-1510,6.24262988703056
CTG-1553,7.03825918635799
CTG-1579,11.5790715646535
CTG-1637,6.64724478711588
CTG-1701,8.44591102362958
CTG-1778,12.5947795966406
CTG-1825,14.9563007710107
CTG-1882,4.37745388419826
CTG-1905,17.509815536793
CTG-1951,18.4077547950901
CTG-1981,21.114777559074
CTG-2005,8.86299304948784
CTG-2067,16.6954055118259
CTG-2101,9.83427995902075
CTG-2157,7.32553507151546
CTG-2158,11.5790715646535
CTG-2164,5.88444620498783
CTG-2276,14.9563007710107
CTG-2281,10.4043831450509
CTG-2292,7.97669374453905
CTG-2351,15.2745199363514
CTG-2359,10.4043831450509
CTG-2360,19.4027685677977
CTG-2362,13.2944895742318
CTG-2368,7.17902437008515
CTG-2383,8.97378046260643
CTG-2410,17.9475609252129
CTG-2444,15.9533874890781
CTG-2598,26.5889791484635
CTG-2600,11.9650406168086
CTG-2612,11.217225578258
CTG-2712,22.4344511565161
CTG-2944,24.7552564485695
CTG-3069,19.9417343613476
CTG-3136,8.15798223873312
CTG-3272,35.8951218504257
CTG-3278,8.64942695190982
CTG-3291,19.4027685677977
CTG-3304,13.2944895742318
CTG-3360,11.5790715646535
CTG-3388,17.0929151668694
CTG-3397,10.1113019296974
CTG-3426,11.217225578258
CTG-3488,35.8951218504257
CTG-3491,17.0929151668694
CTG-3494,9.32340827283785
CTG-3536,10.8773096516442
CTG-3546,13.8058160963176
CTG-3579,11.217225578258
CTG-3604,10.4043831450509
CTG-3631,7.55686775798437
CTG-3716,14.076518372716
CTG-3727,32.6319289549325
CTG-3730,7.47815038550536
CTG-3778,11.9650406168086
CTG-3787,6.83716606674776
CTG-3819,5.35748087319787
CTG-3829,12.3776282242847
CTG-3948,12.1678379153986
CTG-3981,17.509815536793
CTG-0329,6.64724478711588
CTG-0331,14.9563007710107
CTG-0663,23.1581431293069
CTG-0714,7.55686775798437
CTG-0771,18.4077547950901
CTG-0785,6.90290804815879
CTG-0800,5.12787455006082
CTG-0816,11.217225578258
CTG-0855,65.263857909865
CTG-0866,17.0929151668694
CTG-0886,34.1858303337388
CTG-0898,5.3177958296927
CTG-0910,10.2557491001216
CTG-0926,9.83427995902075
CTG-0933,13.8058160963176
CTG-0969,25.6393727503041
CTG-0980,4.69217279090533
CTG-0993,6.9699265728982
CTG-0994,7.63725996817569
CTG-1005,15.6065747175764
CTG-1006,16.3159644774662
CTG-1008,14.3580487401703
CTG-1064,13.2944895742318
CTG-1069,23.9300812336172
CTG-1071,13.5453290001607
CTG-1079,17.9475609252129
CTG-1084,11.5790715646535
CTG-1095,14.3580487401703
CTG-1116,5.69763838895647
CTG-1126,11.217225578258
CTG-1143,32.6319289549325
CTG-1173,18.8921693949609
CTG-1182,18.8921693949609
CTG-1195,25.6393727503041
CTG-1213,7.8032873587882
CTG-1224,10.557388779537
CTG-1255,17.0929151668694
CTG-1299,6.64724478711588
CTG-1300,14.3580487401703
CTG-1302,27.6116321926352
CTG-1313,11.217225578258
CTG-1333,8.06631951694961
CTG-1336,17.0929151668694
CTG-1337,15.6065747175764
CTG-1339,9.08737262036095
CTG-1341,8.97378046260644
CTG-1413,5.60861278912902
CTG-1450,5.56513517060864
CTG-1451,5.27869438976849
CTG-1457,10.1113019296974
CTG-1458,10.2557491001216
CTG-1482,10.557388779537
CTG-1517,5.88444620498783
CTG-1542,6.70936857017304
CTG-1548,4.85069214194943
CTG-1549,14.076518372716
CTG-1554,14.076518372716
CTG-1572,12.819686375152
CTG-1587,16.6954055118259
CTG-1609,6.46758952259923
CTG-1651,8.06631951694961
CTG-1660,34.1858303337388
CTG-1663,6.18881411214237
CTG-1664,6.29738979832031
CTG-1695,22.4344511565161
CTG-1702,17.9475609252129
CTG-1841,11.9650406168086
CTG-1877,25.6393727503041
CTG-1884,3.75865150266238
CTG-1916,10.2557491001216
CTG-1947,11.0446528770541
CTG-2003,6.9029080481588
CTG-2004,9.08737262036095
CTG-2021,21.7546193032883
CTG-2041,10.8773096516442
CTG-2073,12.5947795966406
CTG-2076,8.34770275591296
CTG-2086,17.509815536793
CTG-2113,7.17902437008515
CTG-2127,12.5947795966406
CTG-2141,25.6393727503041
CTG-2142,6.35311891157978
CTG-2145,23.9300812336172
CTG-2153,5.52232643852704
CTG-2156,7.17902437008515
CTG-2166,23.9300812336172
CTG-2174,10.557388779537
CTG-2212,28.7160974803406
CTG-2247,14.9563007710107
CTG-2250,9.97086718067382
CTG-2252,18.4077547950901
CTG-2264,9.57203249344686
CTG-2265,18.4077547950901
CTG-2266,6.64724478711588
CTG-2287,17.509815536793
CTG-2291,9.20387739754506
CTG-2309,17.9475609252129
CTG-2316,15.2745199363514
CTG-2323,7.47815038550536
CTG-2342,37.7843387899218
CTG-2355,10.2557491001216
CTG-2382,5.88444620498783
CTG-2390,59.8252030840429
CTG-2424,79.7669374453906
CTG-2426,13.2944895742317
CTG-2474,13.5453290001607
CTG-2491,13.2944895742318
CTG-2510,6.13591826503004
CTG-2618,12.5947795966406
CTG-2662,31.2131494351528
CTG-2667,12.1678379153986
CTG-2722,10.8773096516442
CTG-2735,7.47815038550536
CTG-2782,44.8689023130321
CTG-3010,22.4344511565161
CTG-3067,10.8773096516442
CTG-3117,9.44608469748046
CTG-3166,7.8032873587882
CTG-3419,15.9533874890781
CTG-3483,9.97086718067382
CTG-3725,10.2557491001216
CTG-3726,15.6065747175764
CTG-0437,5.93307799180591
